,wrr,wcr,ser,method,time
0,0.6666666666666667,0.7777777777777778,1.0,deepspeech,2.332537482994667
1,1.0,1.0,0.0,google,0.6851050129989744
2,1.0,1.0,0.0,wit,2.4563724559993716
3,0.6666666666666667,0.6666666666666666,1.0,sphinx,2.0967895639987546
4,1.0,1.0,0.0,houndify,5.762264750999748
5,0.6428571428571428,0.6428571428571429,1.0,deepspeech,4.751086153999495
6,0.9285714285714286,0.9285714285714286,1.0,google,1.0015806709998287
7,0.9285714285714286,0.9285714285714286,1.0,wit,3.666414422004891
8,0.9285714285714286,0.9285714285714286,1.0,sphinx,3.0424463910021586
9,0.9285714285714286,0.9285714285714286,1.0,houndify,3.8170368740029517
10,0.5714285714285714,0.5714285714285714,1.0,deepspeech,3.6609366160046193
11,1.0,1.0,0.0,google,1.168222070999036
12,0.8571428571428572,0.8571428571428571,1.0,wit,3.0735514749976574
13,0.2857142857142857,0.42857142857142855,1.0,sphinx,3.151000136997027
14,1.0,1.0,0.0,houndify,2.476355196995428
15,0.6,0.6,1.0,deepspeech,4.320079828001326
16,1.0,1.0,0.0,google,1.2125400110016926
17,1.0,1.0,0.0,wit,3.2808656380002503
18,0.9,0.9,1.0,sphinx,2.910217188997194
19,1.0,1.0,0.0,houndify,3.2081063340010587
20,0.7142857142857143,0.7142857142857143,1.0,deepspeech,3.796428145004029
21,1.0,1.0,0.0,google,0.6565678140032105
22,0.8571428571428572,0.8571428571428571,1.0,wit,2.6633979520047433
23,0.4285714285714286,0.5714285714285714,1.0,sphinx,2.7568242909983383
24,1.0,1.0,0.0,houndify,3.026931815998978
25,0.8,0.8,1.0,deepspeech,6.907221450994257
26,1.0,1.0,0.0,google,1.0597969420050504
27,0.8,0.8,1.0,wit,4.64396267200209
28,0.0,0.5,1.0,sphinx,5.620817855000496
29,1.0,1.0,0.0,houndify,3.884482259003562
30,0.375,0.375,1.0,deepspeech,7.700562594996882
31,0.875,0.875,1.0,google,1.6010135309988982
32,0.8125,0.8125,1.0,wit,5.458258143997227
33,0.4375,0.6875,1.0,sphinx,4.694739831000334
34,0.8125,0.8125,1.0,houndify,4.5025256000008085
35,0.8,0.8,1.0,deepspeech,2.9179544610015
36,0.8,0.8,1.0,google,0.8922754490049556
37,0.9,0.9,1.0,wit,3.2695448820013553
38,0.8,0.8,1.0,sphinx,3.266129217998241
39,0.9,0.9,1.0,houndify,3.5766875879999134
40,0.5,0.5,1.0,deepspeech,2.3211928009986877
41,1.0,1.0,0.0,google,1.0547879299992928
42,0.5,0.5,1.0,wit,3.1931721069995547
43,0.75,0.75,1.0,sphinx,2.2518071010053973
44,1.0,1.0,0.0,houndify,2.619440268004837
45,0.4285714285714286,0.47619047619047616,1.0,deepspeech,14.154896790998464
46,0.9047619047619048,0.9047619047619048,1.0,google,1.8624962929970934
47,0.7142857142857143,0.7619047619047619,1.0,wit,7.5740734259961755
48,0.19047619047619047,0.19047619047619047,1.0,sphinx,7.701334591998602
49,0.8095238095238095,0.8571428571428571,1.0,houndify,8.047724668998853
50,0.6,0.6666666666666666,1.0,deepspeech,5.869984552999085
51,0.9333333333333333,1.0,1.0,google,1.0283537290015374
52,0.8,0.8666666666666667,1.0,wit,3.6613171429999056
53,0.6,0.6,1.0,sphinx,4.225469919001625
54,0.9333333333333333,1.0,1.0,houndify,4.869299714999215
55,0.6923076923076923,0.7692307692307693,1.0,deepspeech,4.499363902999903
56,1.0,1.0,0.0,google,1.1493725380059914
57,0.8461538461538461,0.8461538461538461,1.0,wit,3.172523725996143
58,0.9230769230769231,0.9230769230769231,1.0,sphinx,2.9679573359971982
59,1.0,1.0,0.0,houndify,3.3615518629958387
60,0.875,0.875,1.0,deepspeech,3.131977753000683
61,0.75,0.75,1.0,google,0.8761670550011331
62,1.0,1.0,0.0,wit,2.7741148819986847
63,1.0,1.0,0.0,sphinx,2.6919136040014564
64,1.0,1.0,0.0,houndify,2.8118431640032213
65,0.8333333333333334,0.8333333333333334,1.0,deepspeech,4.7918798479950055
66,0.7777777777777778,0.8888888888888888,1.0,google,1.7277404639971792
67,0.9444444444444444,1.0,1.0,wit,3.9067194070012192
68,0.5555555555555556,0.5555555555555556,1.0,sphinx,3.969067936995998
69,0.8888888888888888,0.8888888888888888,1.0,houndify,4.9519299719977425
